method,trial,bin,n_bin,coverage,mean_width
norm,23,2,40171,0.9081924771601404,2.143280271445071
norm,23,3,40175,0.8974984443061605,2.7401049887635676
norm,23,4,39746,0.8872339354903638,3.4962015884640145
cqr,23,0,39762,0.9353151249937126,0.9402704239408588
cqr,23,1,40146,0.8991929457480198,1.4342675861773864
cqr,23,2,40171,0.9045331209081178,2.067342663813014
cqr,23,3,40175,0.8736776602364654,2.5175142340074603
cqr,23,4,39746,0.8654455794293765,3.072702623750058
abs,24,0,39762,0.9989688647452342,2.238777364081577
abs,24,1,40146,0.9884920041847257,2.238777364081577
abs,24,2,40171,0.9297005302332528,2.238777364081577
abs,24,3,40175,0.8285749844430617,2.238777364081577
abs,24,4,39746,0.7184622351934786,2.238777364081577
norm,24,0,39762,0.9215331220763543,0.8568628100705225
norm,24,1,40146,0.8739351367508593,1.323461033785447
norm,24,2,40171,0.9002763187373977,2.08050974108571
norm,24,3,40175,0.8873677660236465,2.659855174646139
norm,24,4,39746,0.8766668343984301,3.3938078740837865
cqr,24,0,39762,0.9409234947940245,0.9595076816370103
cqr,24,1,40146,0.9042494893638221,1.4535048438735376
cqr,24,2,40171,0.9074207761818227,2.086579921509166
cqr,24,3,40175,0.8768637212196639,2.5367514917036122
cqr,24,4,39746,0.8678105972928093,3.09193988144621
abs,25,0,39762,0.9990946129470348,2.365934408843806
abs,25,1,40146,0.992004184725751,2.365934408843806
abs,25,2,40171,0.9449354011600408,2.365934408843806
abs,25,3,40175,0.8515245799626634,2.365934408843806
abs,25,4,39746,0.7456096210939466,2.365934408843806
norm,25,0,39762,0.9362456616870378,0.9101258570640062
norm,25,1,40146,0.8937627659044488,1.4057280739791476
norm,25,2,40171,0.916955017301038,2.2098353306754
norm,25,3,40175,0.9082514001244555,2.825193183832672
norm,25,4,39746,0.8972978412922055,3.604768772560991
cqr,25,0,39762,0.9460540214274936,0.9760945294997592
cqr,25,1,40146,0.9081851242963185,1.470091691736287
cqr,25,2,40171,0.9099848149162331,2.103166769371915
cqr,25,3,40175,0.8793030491599253,2.553338339566361
cqr,25,4,39746,0.8697478991596639,3.108526729308959
abs,26,0,39762,0.9990694633066747,2.3165544263071216
abs,26,1,40146,0.99098291236985,2.3165544263071216
abs,26,2,40171,0.9391849841925768,2.3165544263071216
abs,26,3,40175,0.8431113876789048,2.3165544263071216
