model,tier,width_rep_mean,width_rep_sd,width_rep_se,width_ci_lo,width_ci_hi,rank_min,rank_max,rank_stable,n_rep
gbm,1,1.7889869987284555,0.023474176321953248,0.01049797079434069,1.7598446318033658,1.818129365653545,1,3,False,5
mlp,1,1.7986047743068867,0.07302765049959724,0.032658958150839176,1.7079435064801571,1.8892660421336163,1,3,False,5
rf,1,1.8008582752595803,0.025827838597701065,0.011550560563270484,1.7687939191359414,1.8329226313832192,2,3,False,5
ridge,2,2.2064007705616957,0.0045421041887579085,0.002031290745389844,2.2007619074524936,2.212039633670898,4,4,True,5
constant,3,2.966359969839002,0.009337675163869958,0.004175935283644942,2.954767573491604,2.9779523661864005,5,5,True,5
