model,coverage_mean,coverage_se_trial,coverage_se_test,coverage_se,coverage_ci_lo,coverage_ci_hi,width_mean,width_se,test_rmse,test_q90_abs_resid
constant,0.9004608249999999,0.00043516948361971427,0.0006694442756507798,0.000798453578910788,0.8988958559853347,0.9020257940146651,2.960751498586257,0.0030818074452302674,0.9134195713726743,1.4761795821026082
ridge,0.901366445,0.00042185217255866713,0.0006667269937090518,0.0007889766407396212,0.8998200507841503,0.9029128392158496,2.2048372442023654,0.0026007494158361965,0.6683248539795723,1.096145754973255
rf,0.90046113,0.00042862755873509487,0.0006694433633964977,0.0007949062843523269,0.8989031136826695,0.9020191463173306,1.7868541822229742,0.0022656510886514825,0.541015073365512,0.8901821695174138
gbm,0.90069946,0.00041854538810062205,0.0006687299258882781,0.0007889106132375469,0.8991531951980544,0.9022457248019456,1.7735749567423498,0.0021989831651904788,0.5374879848611203,0.8832454580714975
mlp,0.9010757149999999,0.0004182633578264719,0.0006676011939670227,0.0007878042845062913,0.8995316186023676,0.9026198113976323,1.8493083670549257,0.002346026814805986,0.5616458598158517,0.9198383670771414
