train_rep,model,coverage_mean,width_mean,width_rank
0,constant,0.8991959749999999,2.956657955524124,5
0,ridge,0.90140605,2.2086156070813345,4
0,rf,0.9006260500000001,1.7715503967588007,2
0,gbm,0.900901075,1.76056743221477,1
0,mlp,0.8989100499999999,1.8107016671737728,3
1,constant,0.899914975,2.9565907401080365,5
1,ridge,0.9006858750000001,2.2057525830911016,4
1,rf,0.9001663000000001,1.7840655832086958,3
1,gbm,0.9006434249999999,1.7679540412393098,2
1,mlp,0.8996172,1.7304809862655204,1
2,constant,0.9016481000000001,2.9763386727945327,5
2,ridge,0.9004867249999999,2.1988741989971334,4
2,rf,0.9007085,1.7958606022998063,2
2,gbm,0.90243575,1.7964584122817053,3
2,mlp,0.8999581249999999,1.7427500403151877,1
3,constant,0.901617925,2.9684068795606517,5
3,ridge,0.9004881,2.2082001437608167,4
3,rf,0.901144125,1.816485936487905,2
3,gbm,0.9012380249999999,1.8070567735235525,1
3,mlp,0.8997633,1.9144056960319815,3
4,constant,0.900378,2.9738056012076663,5
4,ridge,0.900408425,2.210561319878093,4
4,rf,0.90063155,1.8363288575426941,3
4,gbm,0.9011285250000001,1.8128983343829392,2
4,mlp,0.9013639000000001,1.7946854817479707,1
