method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
norm,13,0.895965,2.0892909295314026,2.116942483743058,0.88,,5e-05
cqr,13,0.89454,2.0016260829746315,0.04605501746493734,0.880308976826738,0.0,
abs,14,0.897275,2.2761425238738204,1.1380712619369102,,,
norm,14,0.90033,2.1190964782680037,2.147142505903657,0.884775,,5e-05
cqr,14,0.902015,2.0388041245371826,0.06464403824621268,0.8844086693497988,0.0,
abs,15,0.901615,2.3166272598614697,1.1583136299307344,,,
norm,15,0.905155,2.150997817384383,2.1794660560178105,0.8893,,5e-05
cqr,15,0.907285,2.068073719448008,0.07927883570162542,0.8874834387420943,0.0,
abs,16,0.919195,2.499970325752919,1.2499851628764598,,,
norm,16,0.907935,2.170861360323915,2.199592490939816,0.892275,,5e-05
cqr,16,0.91001,2.084227229427353,0.08735559069129806,0.889383296252781,0.0,
abs,17,0.89642,2.268769347150794,1.1343846735753977,,,
norm,17,0.882695,2.007372353805574,2.033939723949991,0.8663,,5e-05
cqr,17,0.885165,1.9574872195847774,0.02398558577001042,0.8737655324149312,0.0,
abs,18,0.902795,2.326781652495107,1.163390826247553,,,
norm,18,0.90192,2.1296397949197754,2.1578253622853176,0.88615,,5e-05
cqr,18,0.908835,2.0776097449530613,0.08404684845415211,0.8884083693722971,0.0,
abs,19,0.905155,2.3485153187032406,1.17425765935162,,,
norm,19,0.898925,2.108599118143498,2.136506214279253,0.88315,,5e-05
cqr,19,0.897555,2.0162780560917217,0.05338100402348234,0.8818338624603155,0.0,
abs,20,0.8999,2.300593471697851,1.150296735848925,,,
norm,20,0.89952,2.1131269683690763,2.1410939901447716,0.883775,,5e-05
cqr,20,0.90676,2.065112850990107,0.07779840147267492,0.8871584631152664,0.0,
abs,21,0.89232,2.2326319871189946,1.1163159935594973,,,
norm,21,0.89387,2.074798150708972,2.1022578944582255,0.877825,,5e-05
cqr,21,0.887415,1.967358598233598,0.02892127509442055,0.8753656524239318,0.0,
abs,22,0.904925,2.3466258915318288,1.173312945765914,,,
norm,22,0.910625,2.1921849516606815,2.2211982978519735,0.8949,,5e-05
cqr,22,0.91169,2.0941501944094103,0.09231707318232651,0.8902332325075619,0.0,
abs,23,0.90182,2.3182938705732195,1.1591469352866095,,,
norm,23,0.90124,2.124873302703466,2.1529957860264486,0.885575,,5e-05
cqr,23,0.895615,2.0064156704713296,0.04844981121328629,0.8809089318301128,0.0,
abs,24,0.89298,2.2387773640815776,1.1193886820407881,,,
norm,24,0.89193,2.0626418596513574,2.089940716117542,0.875875,,5e-05
cqr,24,0.899435,2.025652928167481,0.058068440061362026,0.8830587705922056,0.0,
abs,25,0.906775,2.365934408843806,1.1829672044219033,,,
norm,25,0.91048,2.1908567722489707,2.2198525401200357,0.894725,,5e-05
