model,trial,coverage,width
gbm,91,0.913335,1.8391444313132046
mlp,91,0.90537,1.8697413603612816
constant,92,0.89368,2.908459927162383
ridge,92,0.909675,2.2530488879030055
rf,92,0.911015,1.8423472122230264
gbm,92,0.908465,1.8122211542016253
mlp,92,0.919145,1.9534640027682997
constant,93,0.892905,2.902908167056509
ridge,93,0.86283,1.992681352909714
rf,93,0.893175,1.7452766666644606
gbm,93,0.90064,1.7695079510702594
mlp,93,0.90317,1.8577072113582012
constant,94,0.89711,2.931192172788407
ridge,94,0.900665,2.1968924863317647
rf,94,0.902165,1.7920851224166783
gbm,94,0.905775,1.7967500326938717
mlp,94,0.90769,1.8831921144953458
constant,95,0.88632,2.8602777076687627
ridge,95,0.90031,2.1945855093810938
rf,95,0.871175,1.6445039954522995
gbm,95,0.868095,1.6171355218825503
mlp,95,0.882245,1.747305074134455
constant,96,0.87807,2.8097126962974066
ridge,96,0.91063,2.2599126222548396
rf,96,0.91419,1.8604542809924856
gbm,96,0.915205,1.8509527150342588
mlp,96,0.92202,1.973050278517223
constant,97,0.90819,3.0120716926579973
ridge,97,0.90064,2.1966902617995228
rf,97,0.90411,1.8026529726757319
gbm,97,0.88834,1.707990467674013
mlp,97,0.902185,1.8519720371847515
constant,98,0.92092,3.1148336396759033
ridge,98,0.915455,2.292710801773202
rf,98,0.90181,1.7897956164076987
gbm,98,0.904145,1.7874880935437223
mlp,98,0.889725,1.784332773067035
constant,99,0.91756,3.0870387039733176
ridge,99,0.902845,2.2090962168042063
rf,99,0.87832,1.6754362607733313
gbm,99,0.891055,1.721111145009494
mlp,99,0.889075,1.7813051867689582
constant,100,0.89037,2.8868668750532405
ridge,100,0.887095,2.117043591868328
rf,100,0.85953,1.5955111844599283
gbm,100,0.880745,1.6718946835283797
mlp,100,0.893565,1.8040066725553559
constant,101,0.906085,2.9959778552295906
ridge,101,0.91345,2.2791237185255824
rf,101,0.90349,1.799704078918977
gbm,101,0.907085,1.8049244265798108
mlp,101,0.915305,1.9292523211281611
constant,102,0.918985,3.0994364698845835
ridge,102,0.878905,2.0731427135622784
rf,102,0.901415,1.7873521482366037
gbm,102,0.896215,1.7477068718707276
mlp,102,0.906565,1.8768569371159478
